Rep_333_1_IN,Rep_333_1_IP
38.5956,75.087
3.81748,5.55763
1.60318,4.20346
10.5946,13.2765
1.39136,0.329591
6.07363,3.7676
2.31921,0.962921
42.6378,56.4581
1.06507,0.725375
1.90258,1.88673
110.492,173.615
87.8307,186.888
65.0858,129.04
110.915,224.018
11.1169,9.29462
0.0613045,0
4.62676,3.7588
166.117,367.886
30.8545,43.654
25.414,5.41708
7.4263,25.6125
9.57334,7.39953
5.23673,0.0191168
0,0
7.74187,21.8145
3.75108,6.79656
59.6453,113.316
2.96112,1.92439
1.04026,0.881278
0.0680149,0.279262
0.0606075,0
203.503,294.369
13.6869,21.0711
0.757914,0.663163
7.9352,12.1783
22.8892,30.1188
6.45103,1.6471
10.8327,14.8266
2.15027,0.207671
11.2191,14.9529
10.3438,13.3132
5.90813,17.7174
0.9252,1.03598
20.2139,32.1384
4.29864,7.73342
4.18461,4.95061
14.8384,8.83748
2.08157,1.29154
0.389959,1.14039
17.7763,8.70444
0,0
0.153977,0.632147
0.756755,0.720712
0.690215,0.0166593
36.7226,68.6451
0.752172,1.21371
5.79861,0.934082
10.351,16.0214
12.6681,32.1458
1.1679,0.364044
61.3056,119.312
0.4438,1.35183
13.1457,19.0126
3.67087,6.55744
37.2052,102.996
10.1393,9.362
2.72164,5.30358
20.8066,35.1137
11.4486,37.3345
36.7103,55.3924
88.9636,189.022
11.1632,19.6937
11.3517,15.134
22.0747,61.676
23.55,43.4986
5.09173,8.18473
2.66714,1.60045
17.2843,34.8074
58.2084,154.51
0.227751,0
1.23142,1.74203
131.853,184.871
0.740927,0.870426
0.214978,0.601855
14.6632,9.55281
111.773,431.461
5.63891,8.00088
18.1493,30.2045
29.4513,90.7684
13.2387,17.8984
44.5697,29.4188
98.2481,154.859
1.41898,2.91108
4.19035,6.8767
6.97342,7.64489
0.432385,1.61681
9.53855,19.1859
98.8225,202.9
8.77376,14.7021
16.1817,49.5637
0.375577,0.704375
2.60471,4.49105
119.36,303.993
0,0
10.3535,1.90126
0.0221955,0
15.4013,49.1325
6.29646,13.858
6.48494,9.94178
0.201977,1.31753
9.85109,20.6135
34.0283,41.1326
84.0829,258.508
21.9881,46.8719
0.0839339,0.132422
1.57595,0.387488
20.401,42.1227
1.03176,0.887073
12.4676,1.45427
15.7938,21.0693
107.854,253.721
21.1348,32.1873
6.30822,2.12926
10.4748,11.2583
17.9948,35.3554
6.16723,5.53911
3.49455,8.02167
108.498,327.96
126.622,327.515
1.83504,0
0.216861,0.606428
7.74551,17.2304
1.87872,2.9852
0,0
28.5106,66.0507
0.498626,0.706969
6.0805,11.6127
11.5507,33.3515
25.7194,34.7475
13.0442,28.8891
2.21099,2.41637
4.72258,7.63551
8.09719,19.2878
0.376945,0
9.15446,23.3936
0.736378,1.50271
54.4564,128.678
14.5411,7.0211
15.1052,23.0796
0.495194,0
1.1376,3.49531
25.9359,66.2937
5.69048,3.95644
3.43348,0.322098
0.451851,0.146386
1.28279,3.1023
1.26534,0.684141
1.54274,1.31642
3.18482,10.1039
1.67369,1.2516
8.96499,15.8081
29.31,51.4473
15.518,42.0205
10.8503,15.4505
1.32554,1.93611
0.670859,2.38944
5.30619,17.9103
1.17739,1.52287
2.97265,7.51588
424.053,116.64
0.3071,0.387727
24.7931,21.4001
7.50961,17.3838
11.3321,9.31884
0.888947,0.329616
45.0904,73.3568
45.0294,79.5861
244.253,250.784
65.8314,88.9042
0.158414,0
0,0
65.0667,87.4364
24.3036,24.4794
0.56763,0.0717138
149.486,535.512
32.2147,106.233
4.23989,1.96474
2.47591,3.18894
77.7097,110.975
2.59733,7.06481
1.80258,1.29533
23.4263,43.0952
2.86718,2.88109
109.247,306.269
17.8353,22.971
0.741945,1.38423
5.93013,9.23656
2.48034,0
4.21342,2.76657
22.1544,46.072
6.73066,5.25909
2.45964,2.08572
4.74295,14.1954
1.91884,4.32901
0.0190699,0
0.788981,1.53719
1.33803,2.48426
79.6723,134.658
20.0638,54.0579
6.06002,12.397
5.83614,5.0154
3.51011,8.19445
11.9021,12.5655
0.365304,0.173324
2.4104,0.292814
49.5575,89.1346
11.9944,23.6605
0.286764,0
18.252,38.6751
0.554512,1.38937
12.7478,24.4507
5.10998,7.34658
5.96497,7.01674
14.6595,22.4158
7.28316,21.9561
5.81576,19.1674
4.59367,26.611
8.80126,24.4195
194.564,726.957
0.294359,0.512334
2.18906,0
110.174,267.451
4.02638,4.38451
8.5969,19.8855
19.9355,59.6303
23.0801,62.4232
0.869334,1.87651
19.8516,5.66089
48.2029,80.792
23.821,54.6229
832.058,1401.19
37.6804,59.2702
0.140474,2.13214
22.2978,54.0613
16.8211,48.9969
24.076,94.0761
9.12955,10.7004
24.3469,49.2898
101.583,133.2
31.4486,82.4309
0.188572,0
0.302772,0.0796767
1.14095,0.623678
3.97099,14.9056
0,0
116.694,156.249
14.1233,10.6704
7.57648,17.3679
9.65737,23.6751
56.0648,73.5137
5.63385,7.52263
12.7761,13.1084
0.21531,0.0291471
7.16956,19.1093
21.8394,40.0317
0,0
22.5583,68.4964
0.484486,0.168848
5.36671,8.03502
3.90967,7.25233
6.18229,5.6923
12.4766,3.33949
5.14888,4.92445
11.5343,12.1862
7.53376,6.78791
310.735,1111.98
7.31007,7.33089
22.9682,33.6166
0.835259,1.09922
0.75443,1.8701
65.0628,140.69
5.63447,5.88341
1.88723,0.562309
5.40704,6.02508
4.97068,6.49392
23.4934,36.918
0.314931,0.709024
21.2829,43.21
14.9063,16.5945
14.1037,16.8157
5.3934,0.739108
163.889,317.062
105.146,260.598
3.77304,7.18969
3.07589,0.961033
19.293,40.9309
7.0064,7.88088
4.41341,12.6477
4.34593,4.80393
9.59092,21.2057
30.5976,104.487
43.4217,59.7139
1.29365,0.0918247
33.3297,44.7392
2.32725,0.909193
16.6147,9.12091
9.3005,12.9084
27.859,9.31408
48.5627,141.207
362.383,637.974
12.3464,7.62235
52.5635,124.579
4.28248,14.044
3.67957,5.22757
317.622,405.824
53.1345,11.9972
4.37235,2.14204
11.3649,16.7803
0.724326,1.46936
30.0129,7.4875
0.582331,1.17837
15.8417,13.8788
27.3378,45.7075
121.567,232.996
237.926,503.683
2.36786,3.9865
124.258,198.344
0.0294755,0
4.13601,2.63336
4.15282,7.27782
1.17602,0.120965
0.681478,1.04883
3.03446,6.21174
7.04139,12.3601
32.5348,30.3464
13.1876,9.45248
78.264,190.725
11.7468,17.9287
0,0
2.02274,3.83514
4.02616,10.5656
37.346,70.3362
11.1197,6.47185
306.033,644.767
61.4441,124.658
8.27817,2.05363
284.743,735.621
1.79719,0.521712
2.71681,2.80742
22.0939,36.0742
0.418393,0
0,0.86004
0,0
2.21383,1.72282
0.865984,0.60612
0.575647,0.0545897
9.96489,9.87215
40.5479,99.0415
104.528,45.0417
0.253975,0
7.40963,16.1326
33.7536,81.1306
86.2088,143.179
1.40257,0.683439
13.0614,38.849
12.9908,17.4943
25.5003,63.0921
21.2614,35.2089
8.64134,13.882
1.23972,3.00588
0.935165,1.41784
4.18354,8.44949
49.4608,97.856
58.9584,132.25
0,0
0,0
0.174332,0
395.675,207.058
13.6096,11.1919
1.04665,1.50579
8.36877,15.3419
16.2974,26.487
1.98,4.07707
2.83697,1.20192
2.53307,0.758237
110.07,183.188
20.2815,7.0222
0,0.517095
27.5341,5.18345
4.71352,9.10358
17.781,29.6957
31.1713,22.3867
22.0828,33.9028
40.6116,76.4475
0.0107527,0.0424559
0,0.39737
0.00901823,0.128181
1.67003,0.134649
12.9701,1.67167
70.3237,161.393
0.00963999,0
1.29389,0.675712
6.49181,16.0775
1.11805,0.0364847
0.54999,0.75885
8.69224,5.35796
54.0969,116.505
6.69225,4.23829
121.619,521.668
28.7447,81.0881
47.0068,74.1461
6.47591,5.22625
8.98056,7.24666
0.0202514,0
6.48495,12.3448
0,0
4.02851,0.854551
0,0
25.3831,92.9106
4.12469,9.75006
180.609,327.5
2.11422,1.92608
22.535,42.7397
0.232233,0.0282137
7.66812,4.61355
12.9703,3.06922
0.0920028,0.406798
8.31035,11.9204
1.06556,0.0459205
3.48117,7.26336
12.162,11.8803
60.8167,80.3015
41.4232,9.4413
2.7659,7.58078
1.50614,1.78852
24.0325,43.9837
3.64301,11.0294
34.2266,109.601
117.723,223.707
0.0401624,0
60.3214,151.821
0.461013,0.753999
0.0392602,0
1.43687,0.575512
3.34149,2.38041
20.0047,112.329
132.728,187.29
0,0
14.3705,37.9252
1.58982,1.77127
113.377,164.543
2.65926,1.21721
38.663,119.692
147.166,268.552
0.37176,0.534934
6.0153,10.0243
42.5635,84.1353
3.81177,2.53188
21.2292,12.3832
1.53072,2.23813
49.2508,95.908
0.759084,0
0.417048,0
43.1913,28.9662
0.468202,0
6.84864,11.2846
0.866575,2.00709
31.1287,48.3552
272.376,770.841
2.13363,1.964
0.118291,0
31.3977,38.854
0.0581233,0
1.78885,1.67437
0,0
2.39941,17.3138
0.105531,0.00509424
0.376112,0.857225
54.673,109.664
3.61132,0.939815
4.62357,2.9387
6.45427,16.5836
27.6168,50.434
0.0419794,0
7.37111,27.8219
0,0
153.648,312.916
0,0
2.28658,3.29943
37.5698,10.5903
81.0667,152.451
0.0353122,0
1.94691,4.15938
17.3519,31.0781
1.37578,0.115279
2.14834,3.67649
28.3225,67.6569
1.61906,1.67923
1.92678,4.71899
5.91072,5.32714
29.9522,33.4344
10.0743,11.5288
31.8621,104.448
0.694781,0.576089
57.1398,143.601
2.01886,10.8747
0,0
15.7911,29.7261
19.5712,49.5762
0.270857,0.194895
4.38579,1.39755
0,0
