gene_k,Rep_333_1_IN,Rep_333_1_IP,Rep_333_1_FC,Rep_333_2_IN,Rep_333_2_IP,Rep_333_2_FC,Rep_333_3_IN,Rep_333_3_IP,Rep_333_3_FC,Rep_444_1_IN,Rep_444_1_IP,Rep_444_1_FC,Rep_444_2_IN,Rep_444_2_IP,Rep_444_2_FC,Rep_444_3_IN,Rep_444_3_IP,Rep_444_3_FC
Nalcn,6.63564,9.54028,0.523796,6.31261,10.2563,0.700201,5.71375,11.6197,1.02407,7.04557,10.1114,0.521189,6.59995,11.7444,0.831451,6.18662,10.0779,0.703967
Btbd17,0.460607,0.280624,-0.714898,0.211825,0.439767,1.05387,0.357165,0.631469,0.822123,1.52943,0,-1.79769e+308,0.533587,0,-1.79769e+308,0.85816,0,-1.79769e+308
Slfn4,0.0128828,0,-1.79769e+308,0.171795,0,-1.79769e+308,0.121727,0,-1.79769e+308,0.0487293,0,-1.79769e+308,0.284503,0,-1.79769e+308,0.126055,0,-1.79769e+308
Th,120.997,4830.38,5.31909,157.434,5086.05,5.01373,151.639,4909.53,5.01687,121.665,5801.19,5.57536,120.872,6024.52,5.63929,135.346,5475.21,5.33819
Ins2,0.090572,0,-1.79769e+308,0,0,0,0.280675,0,-1.79769e+308,0,0,0,0.190964,2.9792,3.96356,0,0,0
Scnn1g,0.0078358,0,-1.79769e+308,0.032766,0,-1.79769e+308,0.0566582,0,-1.79769e+308,0.061226,0,-1.79769e+308,0.050686,0,-1.79769e+308,0.0244449,0,-1.79769e+308
Drp2,3.97769,11.4909,1.53049,3.53431,11.0143,1.63988,4.64251,12.665,1.44788,4.50565,14.2729,1.66347,3.84874,11.3792,1.56394,4.16982,15.2855,1.8741
Tspan32,2.05633,0,-1.79769e+308,2.14471,0,-1.79769e+308,2.90495,0,-1.79769e+308,2.3913,0.0906609,-4.72117,5.57746,1.65731,-1.75077,2.78799,0.374981,-2.89433
Lhx2,0.544841,0,-1.79769e+308,0.787333,0,-1.79769e+308,0.357159,0,-1.79769e+308,0.69586,0.253557,-1.45649,0.834006,0,-1.79769e+308,0.849824,0.0983568,-3.11107
Clec2g,0.0578283,0,-1.79769e+308,0,0,0,0.0205282,0,-1.79769e+308,0,0,0,0,0,0,0,0,0
Gmpr,30.4493,115.111,1.91854,43.2399,117.96,1.44787,33.43,103.51,1.63056,35.0522,96.6541,1.46333,43.9143,138.761,1.65984,43.7589,84.7075,0.952915
Glra1,0.680056,0.753672,0.148283,0.829474,0.197263,-2.07208,0.81437,0.248049,-1.71506,1.21118,1.34094,0.146827,0.829883,0.125829,-2.72145,0.599516,0.336195,-0.834501
Mid2,3.84667,4.4173,0.199557,3.81455,4.28005,0.166114,3.82687,6.15681,0.686018,4.83453,3.77229,-0.357934,3.70933,3.54991,-0.0633772,3.49091,4.03259,0.208106
Trim25,2.06895,0.178438,-3.53541,1.46286,0.881374,-0.73097,2.10777,1.42501,-0.56475,1.33415,0.747721,-0.835344,2.07114,1.09889,-0.914379,2.59905,1.85019,-0.490309
Dgke,3.90212,4.60883,0.240143,3.36923,4.00402,0.249031,3.97827,5.25022,0.400237,4.88505,7.33687,0.58679,4.9531,7.12157,0.523863,4.184,6.48006,0.631122
Scpep1,16.1738,29.7656,0.879986,15.5992,35.6097,1.1908,16.9952,41.97,1.30423,16.3591,37.3276,1.19015,16.3251,38.6613,1.2438,15.2393,41.0812,1.43068
Mnt,2.22748,3.56513,0.678546,2.27661,3.04697,0.420487,2.72716,2.32149,-0.232349,2.02026,2.19002,0.116404,2.09059,2.36644,0.178806,1.90793,2.6606,0.479748
Itgb2,6.88301,2.71981,-1.33953,5.69327,2.10762,-1.43364,10.6809,2.08943,-2.35385,8.07168,3.87415,-1.05899,9.57805,7.15412,-0.420959,7.70155,5.53075,-0.477674
Hddc2,39.519,106.773,1.43392,30.2508,117.88,1.96227,31.0801,94.0434,1.59733,35.9536,79.045,1.13654,30.9757,87.5858,1.49956,40.7058,92.9888,1.19182
Tpd52l1,25.5092,42.5851,0.739335,28.9368,61.8467,1.09579,22.8725,44.7649,0.968755,30.1846,41.932,0.474239,30.0744,43.6577,0.537701,34.8055,32.5255,-0.0977423
Pemt,7.66968,12.4469,0.698549,5.64525,12.048,1.09369,7.84861,9.05956,0.207003,7.10069,20.8283,1.55251,2.73361,24.4428,3.16053,6.5297,13.082,1.00249
Cdh1,1.0786,0.269924,-1.99854,1.25165,0.407204,-1.62001,1.5751,2.37948,0.595202,0.790543,0.274776,-1.52459,0.550831,0.170327,-1.6933,0.689274,0.266469,-1.37111
