gene_k,Rep_333_1_IN,Rep_333_1_IP,Rep_333_1_FC,Rep_333_2_IN,Rep_333_2_IP,Rep_333_2_FC,Rep_333_3_IN,Rep_333_3_IP,Rep_333_3_FC,Rep_444_1_IN,Rep_444_1_IP,Rep_444_1_FC,Rep_444_2_IN,Rep_444_2_IP,Rep_444_2_FC,Rep_444_3_IN,Rep_444_3_IP,Rep_444_3_FC
Kdm6b,3.40737,6.34419,0.896777,3.28445,5.90004,0.845071,3.60829,4.0618,0.170802,1.39081,1.70065,0.290164,1.28938,2.10269,0.705554,1.02236,1.23693,0.274862
1700125H20Rik,0,0,0,0.0963247,0.363317,1.91525,0.0475892,0.201554,2.08246,0,0,0,0.446786,0,-1.79769e+308,0,0.216136,1.79769e+308
Appbp2,13.6356,14.5902,0.0976224,12.3207,11.7464,-0.06886,13.2165,14.9607,0.178844,15.6044,15.0125,-0.0557837,13.4025,17.7659,0.406614,13.299,19.7258,0.568762
Wnt9b,0.444861,0,-1.79769e+308,0.417492,0.0199439,-4.38773,0.31331,0.0442562,-2.82364,0.474014,0.0244688,-4.27591,0.539567,0,-1.79769e+308,0.394278,0.118645,-1.73256
Adora2b,1.69473,0,-1.79769e+308,2.58076,0.68432,-1.91505,2.15032,0.584051,-1.88038,1.66815,0.452082,-1.8836,1.94201,0.305312,-2.66919,2.53921,1.25261,-1.01944
Ncor1,48.0506,89.7786,0.901817,43.3988,72.8716,0.747702,46.9681,87.6657,0,39.4014,67.1789,0.769762,36.1771,65.8132,0.8633,33.8115,76.4686,1.17735
Trpv2,8.57643,25.4515,1.5693,7.91124,25.4073,1.68327,9.24537,21.7483,1.2341,9.36391,28.5356,1.60758,8.65425,26.7859,1.62999,10.7118,31.0996,1.53769
Cenpv,4.97295,6.63873,0.416805,4.60374,7.09585,0.624171,6.07671,6.07722,0.000120164,3.65515,7.03802,0.94524,4.91123,4.56031,-0.106955,5.63011,4.39969,-0.355763
Pcgf2,1.59221,3.13794,0.978787,2.03713,2.94759,0.532999,2.94469,2.20629,-0.416496,2.75657,2.76952,0.00676381,2.79222,1.27585,-1.12995,2.51428,1.73153,-0.538097
Cwc25,5.3124,8.80561,0.729059,6.0851,5.46395,-0.155336,5.25952,9.44695,0.844918,6.06222,8.07985,0.414482,6.37886,10.322,0.694345,6.24539,10.7261,0.780259
1700001P01Rik,0.691138,0,-1.79769e+308,0.166733,0,-1.79769e+308,0.768831,0.232564,-1.72504,0.830307,0,-1.79769e+308,0.343685,0,-1.79769e+308,0.497259,0,-1.79769e+308
Pip4k2b,1.05713,2.41443,1.19153,1.33152,1.75613,0.39932,1.36993,1.9747,0.527529,0.878336,1.43637,0.709587,1.1044,1.60499,0.539308,0.813582,1.56179,0.940845
Trim37,44.812,37.8401,-0.24397,43.6979,31.4975,-0.472325,39.234,34.7893,-0.173459,42.3277,28.9638,-0.547352,41.9628,28.1284,-0.577081,40.4042,34.5868,-0.224286
Ybx2,0.219937,0.0739756,-1.57197,0.263872,0.307979,0.222994,0.482654,2.79644,2.53453,0,0.383654,1.79769e+308,0,0.577093,1.79769e+308,0.146125,0,-1.79769e+308
Ctdnep1,14.6402,21.7781,0.572946,14.6944,20.6561,0.4913,19.3697,19.3132,-0.00421043,11.7729,16.6069,0.496313,11.6475,16.7709,0.525935,15.3214,11.761,-0.381536
Rai12,88.6092,225.985,1.3507,106.461,258.936,1.28226,95.8496,207.694,1.11562,109.788,256.668,1.22518,103.923,249.15,1.2615,121.823,257.92,1.08213
Slc2a4,1.06249,0.405462,-1.38981,0.699217,0.458349,-0.609292,1.21795,0.688147,-0.823663,1.03049,0.404639,-1.34863,1.0359,2.03654,0.975241,1.23241,1.05872,-0.219161
Gabarap,268.151,618.515,1.20577,335.864,724.332,1.10877,287.218,664.931,1.21106,272.297,564.652,1.05218,256.059,545.346,1.09069,307.038,525.567,0.775458
Cldn7,0.132583,0.229333,0.790545,0.201086,0,-1.79769e+308,0.775363,0.503647,-0.622458,0,0,0,0.201481,0.599627,1.57342,0.299492,0,-1.79769e+308
2810408A11Rik,0.281051,0.878483,1.64418,0,0.0234014,1.79769e+308,0.243914,1.03556,2.08596,0,0,0,0.153812,0.217633,0.500734,0,0,0
Phf23,13.7549,28.8365,1.06795,14.7567,24.597,0.73711,15.2381,19.8889,0.384278,11.6309,18.5505,0.673493,11.995,19.9788,0.736035,12.9855,15.7152,0.275259
Acadvl,44.1114,55.6478,0.335174,41.0399,40.7828,-0.00906671,47.6125,50.5354,0.085954,43.4336,49.4628,0.187532,47.7453,57.5337,0.269048,46.8943,55.3678,0.239636
Dnahc11,0.0455254,0.0272743,-0.739131,0.0705674,0.026839,-1.39467,0.0778356,0.0824632,0.0833199,0.0797366,0.0303954,-1.39139,0.0710877,0.0574768,-0.306621,0.0538753,0.0368456,-0.548131
G3bp1,14.7085,30.6749,1.0604,17.4899,29.219,0.740386,14.5139,30.946,1.09232,12.3297,21.4903,0.801543,13.6276,26.3734,0.952545,12.1067,23.7385,0.971424
Atox1,183.437,355.717,0.955445,160.371,387.834,1.27403,157.901,320.185,1.01989,129.294,226.205,0.806978,119.934,235.546,0.973772,139.629,241.315,0.789322
Glra2,4.46903,3.75727,-0.25028,2.89766,8.74223,1.59311,3.31486,6.80166,1.03694,2.3743,3.30021,0.475059,3.23599,3.93429,0.281899,2.91323,2.92215,0.00440993
Sparc,465.388,117.921,-1.98062,432.335,100.678,-2.10241,573.829,158.284,-1.85811,635.251,200.768,-1.6618,540.403,233.717,-1.20927,678.933,220.733,-1.62096
Glra4,0.261185,0,-1.79769e+308,0.177229,0,-1.79769e+308,0.194038,0,-1.79769e+308,0.0637884,0.158054,1.30905,0.244055,0,-1.79769e+308,0.0509702,0.229913,2.17336
Smcr7,7.0311,8.40602,0.257672,9.30286,11.3105,0.281913,6.6647,8.61208,0.369822,6.31156,13.376,1.08357,8.38585,11.8171,0.494845,7.44159,8.23146,0.145538
Tbx3,0.298397,0.219185,-0.445084,0.626652,0,-1.79769e+308,0.25039,0.0417435,-2.58455,0.125234,0.155504,0.312326,0.378168,0.193736,-0.964934,0.596492,0.351875,-0.761442
Mmp20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mmp7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crhr1,6.67956,25.8084,1.95002,5.62358,32.5546,2.5333,8.46397,20.8437,1.3002,10.9735,54.5574,2.31375,16.3395,33.4132,1.03206,15.7574,25.1491,0.674482
Dusp14,8.16191,23.7056,1.53825,9.57987,20.4554,1.0944,8.1418,18.9467,1.21853,9.90982,20.9721,1.08154,14.4783,27.0373,0.901065,14.3884,17.9843,0.321829
Tada2a,16.2851,20.1527,0.307422,17.5563,20.5204,0.225071,19.8375,17.1559,-0.209527,23.8245,23.4333,-0.0238849,21.2066,15.4151,-0.460171,20.1898,30.3281,0.587026
Ikzf1,2.66792,0.0446529,-5.90082,2.75535,0.287662,-3.25979,3.38707,0.12743,-4.73226,1.96294,0.148956,-3.72005,2.92982,0.606156,-2.27305,2.13976,0.338944,-2.65833
Fam115e,0,0,0,0,0,0,0,0,0,0,0,0,0.0486028,0,-1.79769e+308,0,0,0
Pnpo,64.9778,162.345,1.32104,71.1611,160.557,1.17392,69.5175,165.006,1.24708,85.5272,175.678,1.03848,76.9416,193.672,1.33178,86.9145,188.285,1.11525
Cog1,6.7448,19.9721,1.56614,6.84883,10.4365,0,9.25513,19.0116,1.03855,7.98903,16.5215,1.04826,8.30118,18.2687,1.13798,6.341,17.6666,1.47825
Cbx1,19.1139,40.094,1.06876,20.6532,49.7193,1.26744,18.6689,32.4316,0.796764,16.9677,21.0307,0.309704,11.9475,23.9663,1.0043,15.8988,20.7716,0.385695
Cdk5rap3,37.694,50.6003,0.424809,36.3603,44.8722,0.303458,37.0467,51.6673,0.479906,39.9305,49.3878,0.306663,37.9428,44.1267,0.217824,44.3999,61.6026,0.472436
Copz2,2.17381,0.67233,-1.69298,9.28334,2.06218,-2.17048,3.47717,0.0887506,-5.29201,3.99551,0.574679,-2.79755,3.7961,0.788826,-2.26674,2.56286,0.278653,-3.20121
Slc25a39,43.5818,99.6751,1.19351,95.1143,138.51,0.542256,47.6443,96.5511,1.01899,44.9118,104.695,1.22102,97.3653,152.776,0.649941,86.0137,71.5893,-0.264822
Sp2,2.33331,5.79056,1.31133,4.03457,6.15085,0.608369,2.35998,6.83029,1.53317,2.41201,3.77294,0.645454,2.77068,3.95622,0.513884,2.98553,2.826,-0.0792259
Aatf,7.65945,15.1918,0.987983,8.39174,12.7374,0.602033,7.95188,15.783,0.989007,8.45281,15.9547,0.916482,7.56532,13.643,0.850683,7.54023,11.588,0.619955
Lhx1,3.35967,0.799583,-2.071,4.29658,1.18689,-1.856,5.04128,0.879784,-2.51857,4.6671,0.826003,-2.49831,4.06604,2.01264,-1.01453,4.04618,1.28165,-1.65856
Dync1h1,35.0436,18.4865,-0.922678,27.8528,13.2666,-1.07003,38.9913,20.9863,-0.893708,34.9739,24.3735,-0.520966,30.6622,25.2976,-0.277464,34.1012,33.5188,-0.0248516
Cpsf4l,0.165062,0,-1.79769e+308,0.100163,0,-1.79769e+308,0.0881151,0.0698831,-0.334446,0,0,0,0.154907,0,-1.79769e+308,0.0867572,0.130513,0.589136
Pex12,7.63351,12.8121,0.747091,9.48551,15.4823,0.706826,6.4226,15.1782,1.24077,5.94989,11.4689,0.946793,8.72977,9.1411,0.0664226,5.7523,8.07747,0.489763
Ndel1,25.011,38.3879,0.618091,34.4915,48.2029,0.482878,21.7085,45.3137,1.06169,26.571,51.1456,0.944756,34.4479,55.2636,0.681915,37.4802,39.061,0.059601
Slc25a35,3.11813,3.1355,0.00801697,3.28641,2.0762,-0.662568,3.77767,1.96044,-0.94632,4.42113,7.66273,0.793444,3.51274,3.64962,0.0551475,4.01429,4.09614,0.0291224
Zbtb4,10.868,16.5237,0.604453,11.3926,16.6985,0.551618,12.3719,16.3282,0.400297,11.67,19.4344,0.735805,9.96322,14.426,0.53399,10.871,17.9685,0.724982
BC096441,0,0,0,0.122466,0,-1.79769e+308,0.067499,0,-1.79769e+308,1.04866,0.302649,-1.79284,0.721711,0,-1.79769e+308,0,0.000552222,1.79769e+308
Mpdu1,50.8249,112.176,1.14216,47.9226,107.996,1.1722,50.6313,58.5066,0.208569,44.6493,91.8487,1.04062,42.2968,78.5806,0.893624,56.854,72.4929,0.350578
Fxr2,8.37126,18.0096,1.10525,12.6173,21.665,0.779962,10.4706,19.2453,0.878164,11.7461,12.1793,0.0522475,12.8325,19.5111,0.604487,11.9548,10.9273,-0.129648
Atp5g3,577.554,1515.65,1.3919,630.921,1726.42,1.45226,480.235,1594.02,1.73085,394.904,1109.99,1.49097,362.631,1157.71,1.6747,493.239,969.999,0.975696
Cd68,23.5375,4.65756,-2.33731,21.3993,2.30076,-3.21738,31.2246,3.38329,-3.20618,15.8754,2.90358,-2.45089,15.5983,5.57127,-1.48532,17.7037,4.2236,-2.0675
Amac1,0.0155142,0,-1.79769e+308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acsl1,14.0848,8.97521,-0.650118,13.2296,11.7693,-0.168732,14.4712,9.75159,-0.569472,11.7786,13.2445,0.169226,15.3251,13.6224,-0.169908,11.0882,9.38364,-0.240811
Abca5,3.99587,4.67718,0.227129,3.08392,1.95214,-0.659709,3.54043,3.25088,-0.123093,3.93328,2.46177,-0.676038,2.71939,5.04818,0.892482,2.60786,3.75026,0.524124
Smyd4,7.87201,11.4852,0.544967,5.73602,11.1898,0.964059,8.58161,12.3039,0.519792,7.24869,7.65554,0.0787845,6.18848,11.3015,0.868862,8.21326,9.22307,0.167292
Lsp1,41.1104,4.22996,-3.28079,30.7968,11.1873,-1.46091,43.5816,5.29233,-3.04175,25.9849,5.40045,-2.26652,42.0573,9.06272,-2.21434,30.8728,12.0419,-1.35828
Zfyve27,9.82389,14.0676,0.518008,8.72669,13.6112,0.641285,10.1621,13.8557,0.447275,11.2311,15.8038,0.492765,11.2141,19.1069,0.768785,11.2216,15.7579,0.489797
Avpi1,20.1321,72.0765,1.84003,20.9995,77.7576,1.88863,17.1569,61.9185,1.85158,26.7448,93.666,1.80827,30.595,86.8008,1.50441,34.2139,74.2415,1.11765
Sfrp5,1.36833,0.0611568,-4.48376,2.25363,0.101845,-4.46781,1.97346,0.320162,-2.62385,1.412,0.187427,-2.91334,1.12718,0.531628,-1.08423,1.20804,0.363522,-1.73256
Myh11,2.45163,1.86766,-0.392505,2.40275,0.688226,-1.80373,2.98967,2.599,-0.202029,1.57991,1.35372,-0.22291,1.24656,1.73258,0.474969,0.915088,1.40511,0.618697
Rad51l3,12.2554,17.6438,0.525744,12.7562,24.0072,0.912271,12.1991,16.7542,0.457753,17.0921,22.3027,0.38389,17.2835,24.0789,0.478373,17.757,17.307,-0.0370314
Fndc8,0.412511,0.176069,-1.22829,0.524478,0.102623,-2.35353,0.518237,0.162661,-1.67174,0.566214,0.107955,-2.39091,0.468746,0.0510186,-3.19971,0.417351,0,-1.79769e+308
Unc45b,0.239064,0,-1.79769e+308,0.300102,0,-1.79769e+308,0.387344,0.0190335,-4.347,1.16565,0,-1.79769e+308,0.242445,0,-1.79769e+308,0.380382,0,-1.79769e+308
Pank3,6.01162,5.09527,-0.238598,5.11907,5.26926,0.0417181,5.52569,6.25855,0.179674,5.41204,5.8374,0.109154,4.78495,4.54603,-0.0738974,3.65819,4.66279,0.350062
Rars,30.8854,53.4034,0.790007,31.3241,47.4435,0.598939,37.6211,64.6525,0.781166,38.4749,72.7576,0.91918,36.7175,60.0354,0.709347,35.8146,63.9173,0.83566
Wwc1,8.68488,7.63051,-0.186726,10.9383,9.30939,-0.232628,9.85122,9.23141,-0.0937521,12.7252,11.8596,-0.10163,13.6289,11.6949,-0.220789,16.0894,11.3174,-0.507561
Ict1,114.036,289.238,1.34277,121.188,368.829,1.60571,114.458,301.831,1.39892,121.115,288.368,1.25154,111.529,283.703,1.34697,138.409,280.436,1.01874
Fdxr,4.18727,10.2819,1.29603,8.04291,10.1523,0.336021,4.41778,11.9856,1.43991,4.00953,6.0424,0.591689,5.28782,14.9363,1.49808,5.4475,8.46908,0.63661
Otop3,0.343343,0,-1.79769e+308,0.158351,0.0929528,-0.768555,0.198191,0,-1.79769e+308,0.118353,0.0977492,-0.275941,0.228617,0.323476,0.500726,0,0,0
Sult4a1,197.117,416.596,1.07959,215.013,434.007,1.0133,192.187,407.382,1.08387,219.462,483.949,1.14088,224.853,486.408,1.11319,266.948,442.004,0.727504
Pnpla5,0,0,0,0,0.367413,1.79769e+308,0,0.171643,1.79769e+308,0,0,0,0.0475603,0,-1.79769e+308,0,0,0
Mrpl45,51.0909,111.517,1.12613,51.8626,98.9377,0.931826,57.6873,103.489,0.843155,56.8063,111.378,0.971336,51.2427,110.45,1.10798,60.1234,114.319,0.927073
Mb,0.578422,1.0059,0.798298,0.829179,0.360751,-1.20068,0.6581,1.01144,0.620037,0.452426,1.39835,1.62797,0.749075,1.34017,0.839237,0.903166,1.90246,1.0748
Irf1,18.873,18.9605,0.00667367,20.4655,28.3819,0.471778,27.7392,55.9045,1.01104,23.4402,30.8149,0.394643,39.8866,70.5343,0.82242,39.9013,61.9591,0.63488
Slc22a5,3.50932,2.19612,-0.676232,4.3788,1.9071,-1.19915,3.03831,1.43247,-1.08476,2.9169,1.20187,-1.27916,4.63609,2.47282,-0.906753,4.74935,1.1476,-2.04911
P4ha2,5.19208,14.7566,1.50698,5.64962,17.4559,1.62749,7.61957,7.84562,0.042177,7.18094,18.7938,1.38801,7.19698,14.0873,0.96893,6.83952,14.246,1.05859
Alox12e,0,0,0,0,0,0,0,0,0,0,0.333914,1.79769e+308,0,0,0,0,0,0
Arrb1,20.4359,21.0884,0.0453454,16.9676,16.1646,-0.0699406,20.6182,17.8456,-0.208344,19.8554,22.2248,0.162638,21.2247,22.2239,0.0663716,20.605,22.291,0.113468
Il3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Csf2,0.0743489,0,-1.79769e+308,0.038862,0,-1.79769e+308,0.0767991,0,-1.79769e+308,0.145176,0,-1.79769e+308,0.240368,0,-1.79769e+308,0,0,0
Tm4sf5,2.17487,6.52191,1.58436,2.52584,7.41413,1.55351,1.52242,4.0475,1.41067,1.3939,1.30826,-0.0914774,1.09707,6.3156,2.52526,2.64495,4.1629,0.654349
Cxcl16,8.82032,1.33396,-2.72511,9.70942,2.15997,-2.16838,11.275,1.43961,-2.96938,6.47043,1.16392,-2.47488,11.6091,0.472394,-4.61912,9.35617,1.16006,-3.01171
Pelp1,1.54862,1.50433,-0.0418548,2.71785,3.1871,0.229779,1.21738,2.34868,0.948072,1.45158,2.02723,0.481885,1.68237,3.11083,0.886803,1.98547,2.56286,0.368269
Med11,8.57627,22.2008,1.37219,9.78895,23.9102,1.2884,9.06958,22.2397,1.29403,8.06178,27.3361,1.76164,11.5124,20.4483,0.828797,9.8191,21.4274,1.12579
Alox15,0,0,0,0,0,0,0.0512048,0,-1.79769e+308,0,0,0,0.266619,0.0907375,-1.55501,0.061856,0,-1.79769e+308
Gm11435,0.0655159,0,-1.79769e+308,0.013698,0,-1.79769e+308,0.0947449,0,-1.79769e+308,0,0,0,0.042376,0,-1.79769e+308,0,0,0
Ccl6,10.2986,1.16062,-3.14949,6.75026,1.15968,-2.54122,10.0904,1.67921,-2.58712,5.40223,0.773343,-2.80438,9.4615,0.177321,-5.73763,8.62434,0.0833293,-6.69345
Ccl4,7.5741,0,-1.79769e+308,8.02009,1.28446,-2.64246,11.0541,0.641309,-4.10742,2.09882,0.472765,-2.15038,10.425,0.446992,-4.54366,10.208,0.458473,-4.47672
Gm16515,2.70536,1.25669,-1.10619,4.74248,2.10986,-1.1685,3.66177,1.15755,-1.66147,3.0444,1.14213,-1.41443,5.3246,2.87301,-0.890107,3.85193,3.34977,-0.201519
Map2k3,6.19448,3.72441,-0.733972,7.09326,7.06015,-0.00675105,6.74685,3.48879,-0.951488,6.32316,5.47322,-0.208256,10.2935,7.76664,-0.40637,8.37082,7.62731,-0.134195
Ywhah,345.802,699.681,1.01675,389.607,856.718,1.1368,302.497,715.361,1.24175,335.172,569.635,0.765134,382.469,642.769,0.748955,394.05,555.841,0.496293
Hoxb1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sart3,2.62629,3.10832,0.243104,3.78436,5.90605,0.642146,3.41272,6.27042,0.877641,2.26893,4.8411,1.09332,3.63145,7.14632,0.976653,3.38198,3.66493,0.115918
E2f2,0.503003,1.76395,1.81017,0.842815,1.88334,1.16001,0.90233,0.448556,-1.00837,0.721292,0.279301,-1.36876,0.723765,0.407795,-0.827677,0.375019,0.175087,-1.09889
Slfn3,0.137403,0,-1.79769e+308,0.222644,0,-1.79769e+308,0.182438,0,-1.79769e+308,0.0536716,0,-1.79769e+308,0.0444318,0.0314325,-0.499333,0.214305,0,-1.79769e+308
Nars2,5.19367,11.3485,1.12768,5.07241,11.1999,1.14274,5.78384,9.19452,0.668748,7.02829,8.61078,0.29297,6.98905,15.9137,1.1871,5.6187,7.229,0.363559
Slc35b4,19.162,30.1618,0.654471,19.5807,22.8411,0.222199,19.5634,26.5674,0.441496,18.8702,35.6424,0.917481,25.8286,30.3093,0.230791,24.2837,26.1634,0.107557
Dnahc1,0.510446,0.798077,0.644769,0.504871,0.730067,0.532115,0.548572,0.968015,0.819349,0.449911,0.757052,0.750754,0.516995,0.825902,0.67582,0.600554,0.976199,0.700881
Dalrd3,12.519,18.8444,0.590014,16.3947,29.1287,0.829217,9.61013,20.7451,1.11015,11.9015,23.5852,0.986744,17.1004,27.7271,0.697269,16.0932,20.7929,0.369639
Fis1,406.75,647.805,0.671419,373.915,723.605,0.952492,366.366,589.28,0.685668,398.777,546.988,0.455927,352.147,560.763,0.671213,478.788,521.683,0.123785
Plod1,8.69561,9.58558,0.140577,8.57264,6.10171,-0.490526,9.7395,9.13554,-0.0923577,10.4956,13.3417,0.346167,10.9539,13.2814,0.277963,10.8319,18.3819,0.763002
Rab3d,2.05048,2.24169,0.128628,2.15494,1.31237,-0.715473,2.64765,1.74711,-0.599744,1.26773,1.57058,0.309049,2.09898,1.48496,-0.499268,1.48096,1.55131,0.0669499
Mfsd3,3.43974,9.56346,1.47523,3.17695,6.26502,0.979679,3.77157,8.88383,1.23602,5.17509,9.75174,0.914075,4.06819,9.06731,1.15629,5.9034,10.5019,0.831032
Slc25a22,56.6896,155.08,1.45186,99.1073,181.584,0.873573,68.4478,161.197,1.23575,69.798,172.246,1.30321,70.2177,169.045,1.2675,67.2905,148.479,1.14178
Atp6ap1,194.832,579.532,1.57266,207.535,524.438,1.33742,227.951,528.525,1.21325,295.138,824.715,1.4825,256.808,736.661,1.52031,303.695,811.932,1.41874
Dnase1l1,2.28119,1.21992,-0.902999,2.87266,0.957167,-1.58555,3.25036,2.21302,-0.554587,2.8338,1.52791,-0.891172,3.84903,0.366215,-3.39373,3.80502,1.17388,-1.69662
Aldh3a1,3.14855,0.136844,-4.52409,2.66807,0.759635,-1.81242,3.61037,0,-1.79769e+308,3.44165,0.698978,-2.29978,2.38209,0.39652,-2.58676,4.18989,1.35571,-1.62787
Ccl9,32.782,0,-1.79769e+308,1.12928,0.450734,-1.32506,36.8898,0.615346,-5.90568,1.27069,0.0754447,-4.07405,171.872,0.536472,-8.32362,21.4442,0.036582,-9.19524
Scrn1,36.9972,111.49,1.59143,43.7627,111.666,1.35142,34.9128,125.354,1.84418,39.1911,124.198,1.66404,42.5314,126.185,1.56894,38.0491,107.285,1.49551
BC005537,29.0852,21.1903,-0.456881,33.3894,19.165,-0.80092,33.7571,23.3023,-0.534719,35.0929,18.854,-0.896308,26.2629,12.8978,-1.0259,29.8975,20.2141,-0.564659
Isyna1,16.8938,27.6745,0.712065,21.0974,32.271,0.613174,18.1019,39.1332,1.11225,15.2016,38.1857,1.32881,20.309,41.9985,1.04822,18.7103,29.096,0.63699
Hars2,11.4948,17.9281,0.641242,9.27251,13.7661,0.570089,11.7936,14.238,0.271742,9.59872,17.2494,0.845628,11.5045,14.891,0.372238,14.8567,11.1688,-0.411648
Cacng2,7.0743,8.04566,0.185624,8.00527,8.47127,0.0816282,8.02459,8.11026,0.0153206,6.8055,7.4569,0.131875,6.57735,6.99399,0.0886079,6.69032,6.90365,0.0452822
Tmem160,3.1223,8.25355,1.4024,2.99836,7.92226,1.40174,2.21264,7.62497,1.78496,3.82821,7.02628,0.876089,2.93443,6.47716,1.14228,2.71723,7.15456,1.39673
Rab5c,4.81153,8.40561,0.804857,5.7248,9.85907,0.784226,4.4584,10.424,1.2253,6.99774,11.5718,0.725656,8.47092,10.5992,0.323371,5.9071,9.18804,0.637307
Styxl1,0.251605,0.633285,1.33169,0.28557,0.0559356,-2.35201,0.273915,0.124123,-1.14196,0.922206,0.405348,-1.18593,0.205828,0.768639,1.90087,0.313037,0.545741,0.801885
Mdh2,566.016,1389.25,1.29539,555.56,1286.29,1.2112,577.264,1325.57,1.19931,592.883,1225.68,1.04776,506.004,1258.68,1.31469,592.916,1252.51,1.07893
H13,7.06055,15.4853,1.13305,21.3948,47.7919,1.15951,9.37589,20.7811,1.14824,6.18352,17.7663,1.52264,9.14183,24.4454,1.41901,7.58085,13.4459,0.826731
Rnf145,8.36396,10.8627,0.377124,9.12919,11.7025,0.35826,10.2041,17.0218,0.73824,10.7217,19.5356,0.865577,8.9535,15.9927,0.83689,10.5075,16.0909,0.614827
Scn1b,9.20927,7.64146,-0.269238,17.8018,14.2665,-0.319395,9.3744,8.20758,-0.191769,4.57858,5.59133,0.28829,5.68557,6.51238,0.195879,4.70065,3.69345,-0.347892
Atp6v1e1,317.99,861.756,1.4383,330.078,907.741,1.45947,329.016,951.343,1.53181,357.364,887.495,1.31234,305.597,884.237,1.5328,376.407,859.219,1.19073
Chtf18,0.902721,2.64612,1.55153,1.30418,3.01349,1.20829,1.02643,1.47508,0.523156,1.77219,2.20163,0.313039,1.76342,3.24498,0.879835,1.78757,5.09694,1.51163
Lhx9,1.04374,0,-1.79769e+308,1.56268,0.315991,-2.30607,0.547627,0,-1.79769e+308,2.89088,0.680451,-2.08694,3.29746,0.371297,-3.15071,3.83188,0.635772,-2.59147
Agxt2l1,13.0767,8.06918,-0.696507,9.99173,6.3576,-0.652253,9.83465,5.64479,-0.800954,16.8839,9.57446,-0.818384,13.7915,10.2431,-0.429127,13.9148,7.75013,-0.844334
Rps6kl1,6.94658,13.4884,0.95734,12.0451,21.3492,0.825728,7.87621,19.3728,1.29846,10.7991,27.6932,1.35862,13.8163,32.2507,1.22296,15.357,22.5678,0.555374
Ppp1r12c,12.0687,16.8107,0.478109,13.2207,21.3838,0.693719,14.1765,27.9147,0.977525,12.3397,23.3549,0.920422,12.8926,27.7032,1.10351,13.5152,19.5903,0.535557
Ahr,0.416184,0.13667,-1.60653,0.516923,0.433518,-0.253858,0.744876,0.727506,-0.03404,0.708371,0.518579,-0.449943,0.666393,0.603457,-0.143122,0.372811,0.812379,1.12371
Mtap1s,2.40585,8.98196,1.90048,7.60472,17.1667,1.17464,2.00723,12.2443,2.60884,1.91879,9.85321,2.3604,5.08771,16.7103,1.71565,3.997,6.34795,0.667375
Dpep1,0.107608,0,-1.79769e+308,0,0.299407,1.79769e+308,0.045116,0,-1.79769e+308,0,0.468049,1.79769e+308,0.0354884,0.147888,2.05908,0,0,0
Tmem129,16.2382,20.1067,0.308288,16.3444,18.5524,0.182814,19.9292,28.9257,0.537465,24.2011,42.3359,0.806809,25.0393,41.4817,0.728282,25.6785,39.7713,0.631167
2610027L16Rik,1.73756,2.5509,0.553946,2.9373,5.38583,0.874678,2.57123,5.02603,0.966961,2.42592,1.54345,-0.652375,3.16267,7.15673,1.17816,2.07265,2.38826,0.204479
Hsd17b1,0.154806,0,-1.79769e+308,0.182062,0,-1.79769e+308,0.0599652,0,-1.79769e+308,0.0755877,0,-1.79769e+308,0.0625753,0,-1.79769e+308,0.0603579,0.181628,1.58937
Atp6v0a1,48.5135,85.234,0.813043,49.648,75.026,0.595655,56.2452,82.8685,0.559092,43.2513,80.1246,0.889503,48.5313,88.4185,0.865432,41.5736,86.2523,1.05289
Psmc3ip,4.02254,6.48547,0.689103,4.03162,8.12192,1.01046,3.72754,4.37192,0.230044,5.96613,8.1188,0.444471,4.48298,8.5823,0.936905,4.79175,5.1494,0.103852
Grb7,1.37601,0.196206,-2.81005,1.29224,0.39525,-1.70903,1.5137,0.464869,-1.70318,2.02183,0.680816,-1.57033,1.69916,0.528179,-1.68572,1.17225,1.12,-0.0657842
Noxo1,2.82035,0.389224,-2.8572,3.09351,3.42441,0.146611,2.99778,8.82724,1.55807,7.09945,4.68715,-0.598998,3.99522,0.706749,-2.499,4.17377,1.49243,-1.48369
Aoc3,0.0780224,0,-1.79769e+308,0.103315,0.00684029,-3.91684,0.0832801,0.166976,1.00359,0.162576,0.100707,-0.690951,0.10039,0.0952168,-0.0763318,0.0324548,0.21974,2.7593
Zfp687,2.91356,3.83317,0.395757,3.03227,4.18563,0.465047,2.89256,2.02381,-0.515271,1.71312,2.8582,0.738484,2.55876,2.08249,-0.297135,2.20635,1.70536,-0.371584
Gdpd2,4.60834,2.14311,-1.10454,3.92149,1.97997,-0.98592,4.43927,4.13452,-0.102603,5.78262,2.08553,-1.47131,5.89991,2.00649,-1.55602,5.34864,2.48782,-1.10429
D8Ertd738e,211.034,598.104,1.50292,198.189,674.957,1.76792,216.775,426.752,0.977201,168.666,379.3,1.16917,166.384,393.118,1.24044,197.289,339.574,0.783413
